RadiusFromCore,Density,Pressure,VelocityMagnitude
1.12633,38905.2,3690.52,0.0294884
1.07498,684185,68218.5,0.0292375
1.08027,1.78282e+06,178082,0.0337113
1.13742,192118,19011.8,0.030501
1.07507,1.63636e+06,163436,0.0304679
1.08974,173849,17184.9,0.0287891
1.08407,1.09241e+06,109041,0.0292147
1.12393,24479.4,2247.94,0.0271509
1.08847,240964,23896.4,0.0286374
1.08174,43491.8,4149.18,0.0313667
1.14095,103403,10140.3,0.02983
1.12907,266358,26435.8,0.0316451
1.10049,368507,36650.7,0.0311963
1.08659,850266,84826.6,0.0273622
1.09944,539851,53785.1,0.0291135
1.10656,777941,77594.1,0.027894
1.13427,178928,17692.8,0.0329091
1.07527,392857,39085.7,0.0270313
1.12045,34552.9,3255.29,0.0288929
1.10322,358051,35605.1,0.0333138
1.06157,2.96839e+06,296639,0.0293669
1.10144,1.31101e+06,130901,0.0307513
1.06151,3.19475e+06,319275,0.0350485
1.13168,141943,13994.3,0.0299143
1.11245,201497,19949.7,0.0393584
1.08301,868366,86636.6,0.030477
1.10511,759584,75758.4,0.0293789
1.09644,207139,20513.9,0.0322293
1.10213,787522,78552.2,0.030307
1.08714,2.38918e+06,238718,0.0340909
1.12668,63403.9,6140.39,0.0285862
1.11957,493611,49161.1,0.0293899
1.08133,1.35729e+06,135529,0.0289475
1.14937,40590.5,3859.05,0.0324105
1.09579,816393,81439.3,0.029639
1.08531,2.90033e+06,289833,0.0354936
1.06493,1.83327e+06,183127,0.0300614
1.13696,93614.4,9161.44,0.0278503
1.09902,282493,28049.3,0.0321748
1.10937,34963,3296.3,0.0294927
1.06316,2.65462e+06,265262,0.0313444
1.07706,1.17872e+06,117672,0.0278246
1.07385,479875,47787.5,0.0308218
1.14091,214057,21205.7,0.0327005
1.09227,242868,24086.8,0.0261358
1.06364,2.29541e+06,229341,0.0311431
1.07538,1.334e+06,133200,0.0290984
1.09216,778188,77618.8,0.0293262
1.12798,382802,38080.2,0.0328436
1.12249,627500,62550,0.0302964
1.12448,43132,4113.2,0.0759899
1.09412,62394.9,6039.49,0.029363
1.10821,513810,51181,0.0318396
1.06081,3.22564e+06,322364,0.0295581
1.13243,128181,12618.1,0.0334552
1.09609,523910,52191,0.0279124
1.09875,65341.9,6334.19,0.027002
1.09896,52956.7,5095.67,0.0306906
1.07488,327281,32528.1,0.0353923
1.06308,1.36979e+06,136779,0.0300185
1.10699,569289,56728.9,0.029712
1.07735,2.4635e+06,246150,0.0289992
1.14252,26311.7,2431.17,0.0299042
1.09591,817331,81533.1,0.0302034
1.09555,41817.7,3981.77,0.0292022
1.05543,522298,52029.8,0.0287958
1.08796,230806,22880.6,0.0315506
1.06512,1.80977e+06,180777,0.0303288
1.14833,57834.9,5583.49,0.0344848
1.06183,776406,77440.6,0.0303454
1.05788,371599,36959.9,0.0324381
1.08676,84081,8208.1,0.0320469
1.08761,574180,57218,0.0303645
1.08358,1.15821e+06,115621,0.0327555
1.11043,508967,50696.7,0.0705151
1.07234,493299,49129.9,0.0299197
1.08852,238005,23600.5,0.0242769
1.15429,35381.6,3338.16,0.0300974
1.09604,479692,47769.2,0.0324182
1.08369,1.0487e+06,104670,0.0321339
1.09696,50147.9,4814.79,0.0299947
1.07981,711601,70960.1,0.0292602
1.07121,2.25302e+06,225102,0.0309683
1.09655,204342,20234.2,0.0346849
1.1114,1.07107e+06,106907,0.030403
1.11104,30674.5,2867.45,0.0281245
1.07936,192370,19037,0.0283944
1.06762,386884,38488.4,0.0305173
1.08299,1.06111e+06,105911,0.0295781
1.14243,32342.3,3034.23,0.028247
1.08511,162781,16078.1,0.0291709
1.08247,1.13049e+06,112849,0.0296212
1.07611,2.77478e+06,277278,0.0301459
1.09657,715815,71381.5,0.0297533
1.10234,322119,32011.9,0.0384985
1.08089,190072,18807.2,0.0287737
1.13305,36213.8,3421.38,0.0293294
1.11108,77459,7545.9,0.0308326
1.09483,161468,15946.8,0.0246712
1.13928,69593.7,6759.37,0.0311522
1.13569,192349,19034.9,0.0310392
1.11004,627431,62543.1,0.0317557
1.09968,1.05429e+06,105229,0.0309637
1.07498,1.39902e+06,139702,0.0290137
1.0643,2.08202e+06,208002,0.0309382
1.0814,176724,17472.4,0.0298202
1.11292,100083,9808.29,0.0300479
1.09616,124990,12299,0.0282231
1.07821,267601,26560.1,0.028016
1.07261,674296,67229.6,0.0259512
1.11761,37401,3540.1,0.0274305
1.10233,185600,18360,0.031384
1.07668,1.16206e+06,116006,0.0300797
1.10198,183084,18108.4,0.0269788
1.08539,647673,64567.3,0.0308963
1.12569,159580,15758,0.0297981
1.06922,1.06026e+06,105826,0.0279251
1.10373,554429,55242.9,0.0350325
1.0873,184306,18230.6,0.0299948
1.09714,143259,14125.9,0.0292131
1.07626,336224,33422.4,0.0315696
1.08494,322286,32028.6,0.0285917
1.13245,307459,30545.9,0.0314924
1.11844,221931,21993.1,0.0335888
1.08927,262688,26068.8,0.0260841
1.10849,700081,69808.1,0.0336154
1.05535,548636,54663.6,0.0286306
1.07698,254416,25241.6,0.0369771
1.12937,303414,30141.4,0.0304026
1.07153,456359,45435.9,0.0321288
1.0878,570820,56882,0.0277163
1.10932,1.12622e+06,112422,0.029742
1.08246,412728,41072.8,0.0310639
1.12679,26890.1,2489.01,0.0271183
1.09226,390884,38888.4,0.0357218
1.11214,296026,29402.6,0.0281209
1.1312,52074.8,5007.48,0.0323718
1.10584,663615,66161.5,0.0320582
1.08049,516159,51415.9,0.0321738
1.07964,766803,76480.3,0.0313432
1.13335,189758,18775.8,0.0323504
1.09528,548772,54677.2,0.0308049
1.14706,34102.5,3210.25,0.0290095
1.11571,169733,16773.3,0.0320813
1.07567,363641,36164.1,0.0291348
1.09004,1.02622e+06,102422,0.0305096
1.10147,805682,80368.2,0.0357089
1.10075,58667.1,5666.71,0.0294316
1.08267,184931,18293.1,0.0319204
1.14733,36496.9,3449.69,0.0285778
1.10247,71423.7,6942.37,0.0334806
1.0763,2.67764e+06,267564,0.0298949
1.08359,455455,45345.5,0.0295702
1.12638,317145,31514.5,0.0307101
1.05581,480419,47841.9,0.029912
1.09215,1.22279e+06,122079,0.0330772
